city,district,district_profile,item_category,bid_count,amount_sum,amount_mean,latest_posted_date,count_score,amount_score,recency_score,competition_score,opportunity_score,recommendation_flag,avg_lead_time_days
전라북도,김제시,전국 주요 지역,시설유지보수,35,17302696760.0,494362764.5714286,2026-05-11 15:41:02,0.05014749262536873,0.0014298279201548619,0.8823529411764706,0.971,34.7,추천,6.5
경상남도,창원시,전국 주요 지역,전문용역/컨설팅,4,157154000.0,39288500.0,2026-05-14 10:32:03,0.004424778761061947,1.2986598567888047e-05,0.9677419354838709,1.0,34.69,데이터부족,7.2
전라북도,익산시,전국 주요 지역,교육물품/교구,53,3639392247.0,68667778.24528302,2026-05-06 09:10:37,0.07669616519174041,0.0003007452953337049,0.7692307692307692,1.0,34.61,추천,10.7
제주특별자치도,제주특별자치도,전국 주요 지역,건설/공사,53,70067829965.0,1322034527.6415095,2026-05-08 08:26:47,0.07669616519174041,0.0057901343922425914,0.8108108108108107,0.962,34.61,제외,14.0
경상남도,합천군,전국 주요 지역,시설유지보수,47,2340418120.0,49796130.212765954,2026-05-07 10:46:11,0.06784660766961652,0.00019340309890585817,0.7894736842105263,1.0,34.56,추천,2.6
경상남도,의령군,전국 주요 지역,급수/전기/설비,9,68718000.0,7635333.333333333,2026-05-13 13:49:55,0.011799410029498525,5.678589666111781e-06,0.9375,1.0,34.53,데이터부족,0.0
경상북도,경상북도,전국 주요 지역,폐기물/환경,124,19137670539.0,154336052.73387095,2026-04-15 08:29:48,0.18141592920353983,0.0015814630541665542,0.5,0.984,34.48,제외,5.8
경상북도,봉화군,전국 주요 지역,급수/전기/설비,15,236032000.0,15735466.666666666,2026-05-12 13:45:31,0.02064896755162242,1.950477132733339e-05,0.9090909090909091,1.0,34.46,추천,0.0
전라북도,임실군,전국 주요 지역,보험/금융,6,614649460.0,102441576.66666667,2026-05-13 09:42:27,0.007374631268436578,5.079225343923261e-05,0.9375,1.0,34.36,데이터부족,6.7
전라북도,무주군,전국 주요 지역,전문용역/컨설팅,12,1520980500.0,126748375.0,2026-05-12 17:00:07,0.016224188790560472,0.00012568794420177433,0.9090909090909091,1.0,34.29,추천,11.9
전라북도,정읍시,전국 주요 지역,IT장비/전산,46,8838986000.0,192151869.5652174,2026-05-06 11:15:50,0.06637168141592921,0.0007304196070681147,0.7692307692307692,1.0,34.21,추천,7.9
